Ionic Liquid,Cation,Anion,Viscosity (Pa.s),Viscosity (mPa.s),ln_visc,Cation-SMILES,Anion-SMILES,IL_SMILES,Temp (K),Pressure (kPa),MolecularFormula,C,H,N,O,S,P,F,Cl,Br,I
N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,N-methyl-N-propylmorpholinium,N-acetyl-L-alaninate,3.546,3546,8.173575487,CCC[N+]1(C)CCOCC1,C[C@@H](C(=O)[O-])NC(=O)C,CCC[N+]1(C)CCOCC1.C[C@@H](C(=O)[O-])NC(=O)C,298.15,101.325,C13H26N2O4,13,26,2,4,0,0,0,0,0,0
N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,N-methyl-N-propylmorpholinium,N-acetyl-L-alaninate,1.925,1925,7.562681247,CCC[N+]1(C)CCOCC1,C[C@@H](C(=O)[O-])NC(=O)C,CCC[N+]1(C)CCOCC1.C[C@@H](C(=O)[O-])NC(=O)C,303.15,101.325,C13H26N2O4,13,26,2,4,0,0,0,0,0,0
N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,N-methyl-N-propylmorpholinium,N-acetyl-L-alaninate,1.103,1103,7.005789019,CCC[N+]1(C)CCOCC1,C[C@@H](C(=O)[O-])NC(=O)C,CCC[N+]1(C)CCOCC1.C[C@@H](C(=O)[O-])NC(=O)C,308.15,101.325,C13H26N2O4,13,26,2,4,0,0,0,0,0,0
N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,N-methyl-N-propylmorpholinium,N-acetyl-L-alaninate,0.664,664,6.498282149,CCC[N+]1(C)CCOCC1,C[C@@H](C(=O)[O-])NC(=O)C,CCC[N+]1(C)CCOCC1.C[C@@H](C(=O)[O-])NC(=O)C,313.15,101.325,C13H26N2O4,13,26,2,4,0,0,0,0,0,0
N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,N-methyl-N-propylmorpholinium,N-acetyl-L-alaninate,0.418,418,6.035481433,CCC[N+]1(C)CCOCC1,C[C@@H](C(=O)[O-])NC(=O)C,CCC[N+]1(C)CCOCC1.C[C@@H](C(=O)[O-])NC(=O)C,318.15,101.325,C13H26N2O4,13,26,2,4,0,0,0,0,0,0
N-methyl-N-propylmorpholinium N-acetyl-L-valinate,N-methyl-N-propylmorpholinium,N-acetyl-L-valinate,5.78,5780,8.662158962,CCC[N+]1(C)CCOCC1,C[C@@H](C(=O)[O-])NC(=O)C,CCC[N+]1(C)CCOCC1.C[C@@H](C(=O)[O-])NC(=O)C,298.15,101.325,C13H26N2O4,13,26,2,4,0,0,0,0,0,0
N-methyl-N-propylmorpholinium N-acetyl-L-valinate,N-methyl-N-propylmorpholinium,N-acetyl-L-valinate,3.186,3186,8.06652149,CCC[N+]1(C)CCOCC1,C[C@@H](C(=O)[O-])NC(=O)C,CCC[N+]1(C)CCOCC1.C[C@@H](C(=O)[O-])NC(=O)C,303.15,101.325,C13H26N2O4,13,26,2,4,0,0,0,0,0,0
N-methyl-N-propylmorpholinium N-acetyl-L-valinate,N-methyl-N-propylmorpholinium,N-acetyl-L-valinate,1.838,1838,7.516433303,CCC[N+]1(C)CCOCC1,C[C@@H](C(=O)[O-])NC(=O)C,CCC[N+]1(C)CCOCC1.C[C@@H](C(=O)[O-])NC(=O)C,308.15,101.325,C13H26N2O4,13,26,2,4,0,0,0,0,0,0
N-methyl-N-propylmorpholinium N-acetyl-L-valinate,N-methyl-N-propylmorpholinium,N-acetyl-L-valinate,1.108,1108,7.010311867,CCC[N+]1(C)CCOCC1,C[C@@H](C(=O)[O-])NC(=O)C,CCC[N+]1(C)CCOCC1.C[C@@H](C(=O)[O-])NC(=O)C,313.15,101.325,C13H26N2O4,13,26,2,4,0,0,0,0,0,0
N-methyl-N-propylmorpholinium N-acetyl-L-valinate,N-methyl-N-propylmorpholinium,N-acetyl-L-valinate,0.695,695,6.543911846,CCC[N+]1(C)CCOCC1,C[C@@H](C(=O)[O-])NC(=O)C,CCC[N+]1(C)CCOCC1.C[C@@H](C(=O)[O-])NC(=O)C,318.15,101.325,C13H26N2O4,13,26,2,4,0,0,0,0,0,0
