new_cation,new_anion,IL_SMILES,Experimental logEC50,MolecularFormula,C,H,N,O,S,P,F,Cl,Br,I
CC[N+](C)(C)CCCOC,[Cl-],CC[N+](C)(C)CCCOC.[Cl-],4.9,C8H20ClNO,8.0,20.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
CCOCC[N+]1(C)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.69,C11H20F6N2O6S2,11.0,20.0,2.0,6.0,2.0,0.0,6.0,0.0,0.0,0.0
Cn1cc[n+](CCCO)c1,[Cl-],Cn1cc[n+](CCCO)c1.[Cl-],3.09,C7H13ClN2O,7.0,13.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
C[N+](C)(C)CCO,O=C([O-])CO,C[N+](C)(C)CCO.O=C([O-])CO,3.89,C7H17NO4,7.0,17.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCCC[n+]1ccc(C)cc1,[Cl-],CCCCCC[n+]1ccc(C)cc1.[Cl-],2.67,C12H20ClN,12.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,CCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1.65,C13H25BF4N2,13.0,25.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CCCCCCCC[n+]1cccc2ccccc21,F[B-](F)(F)F,CCCCCCCC[n+]1cccc2ccccc21.F[B-](F)(F)F,0.17,C17H24BF4N,17.0,24.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
C[N+]1(Cc2ccccc2)CCOCC1,O=C1[N-]S(=O)(=O)c2ccccc21,C[N+]1(Cc2ccccc2)CCOCC1.O=C1[N-]S(=O)(=O)c2ccccc21,3.5,C19H22N2O4S,19.0,22.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
C[N+]1(Cc2ccccc2)CCOCC1,C/C=C/C(=O)[O-],C[N+]1(Cc2ccccc2)CCOCC1.C/C=C/C(=O)[O-],4.15,C16H23NO3,16.0,23.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCC[n+]1ccc(C)cc1,F[P-](F)(F)(F)(F)F,CCCC[n+]1ccc(C)cc1.F[P-](F)(F)(F)(F)F,3.3,C10H16F6NP,10.0,16.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0
